1001;1001;1;Arena fina;15486.73;Metro3;t;13;1;1;0
1002;1002;2;"Cedazo zaranda 8x8x1/2""";1734.51;Metro;t;13;1;1;0
1003;1003;3;Cuartilla;13805.31;metro3;t;13;1;1;0
1004;1004;4;Cuartilla;13805.31;metro3;t;13;1;1;0
2001;2001;1;Saco cemento 50k;5831.86;unidad;t;13;1;2;0
2002;2002;2;Intaco Mortero repello grueso;4004.42;unidad;t;13;1;2;0
3002;3002;2;Block 20x20x40;646;Unidad;t;13;1;3;0
3003;3003;3;"Cuneta de 14""";5308.85;unidad;t;13;1;3;0
3004;3004;4;Pc bloque entrepiso estereofon 15;2646;unidad;t;13;1;3;0
3005;3005;4;Block 15x20x40;515.7;Unidad;t;13;1;3;0
3006;3006;5;Pc viguetas entrapiso 1511;7159.29;unidad;t;13;1;3;0
3007;3007;6;"Tubo de concreto de 12""";6761.06;unidad;t;13;1;3;0
4001;4001;1;Alambre negro #16 x kilo;557.52;Kilo;t;13;1;4;10
4002;4002;2;Angular 50x50x3.00;8672.57;Unidad;t;13;1;4;0
4003;4003;3;"Angular 50x50x3.00 (2""x2""x1/8)";7415.93;Unidad;t;13;1;4;7
4004;4004;4;"Bar clavo de acero 3.5x50 (2"")";0;Kilo;t;13;1;4;0
4005;4005;5;Cable aluminio #2;558;Kilo;t;13;1;4;0
4006;4006;6;"Clavo acero 2""";30.97;Unidad;t;13;1;4;0
4007;4007;7;"Clavos corrientes de 2.1/2""";716.81;Kilo;t;13;1;4;0
4008;4008;8;Gaza para varilla especial;1234.51;unidad;t;13;1;4;0
4009;4009;9;"Gaza sin fin acero 25mm 1""";508.85;unidad;t;13;1;4;0
4010;4010;10;"Gaza sin fin acero 31mm 1 1/4""";508.85;unidad;t;13;1;4;0
4011;4011;11;Grinding disco p/metal 230mm 9x3/32;2482.3;unidad;t;13;1;4;0
4012;4012;12;Hierro Techo c-28 0.30x0.81x3.66;4999;unidad;t;13;1;4;0
4013;4013;13;Hilco soldadura 6013 de 1/8;4079.65;unidad;t;13;1;4;0
4014;4014;14;Hilco soldadura 6013 de 1/8;4230.09;unidad;t;13;1;4;0
4015;4015;15;Lamina de hierro negro 3,17x1,22x2,44x1/8;33194.69;unidad;t;13;1;4;0
