1004;1004;4;Iguana piedra drenaje metro;15000;metro3;t;13;1;1;0
1005;1005;5;Iguana piedra base entreg camion 4x4 m3;16778.76;metro3;t;13;1;1;0
1006;1006;6;Agregado lastre de tajo la iguana mt;16000;mtr;t;13;1;1;0
2003;2003;3;Cemento gris x kilo;176.99;unidad;t;13;1;2;0
3008;3008;8;Block 12x20x40;330;Unidad;t;13;1;3;0
4041;4041;41;"MC tubo estructural galvanizado cuad 50x50x1,50 (2""x2""x1,50)";9051.95;Unidad;t;13;1;4;8
4042;4042;42;Tornillo hexagonal 1/4x1 1/2 GR2;39.82;Unidad;t;13;1;4;5
4043;4043;43;Tornillo hexagonal 1/4x2 GR2;61.95;Unidad;t;13;1;4;5
4044;4044;44;Tornillo Gypsum fina 25 mm #6 x1;4.72;Unidad;t;13;1;4;10
4045;4045;45;"Tornillo Gypsum fina 38mm #6 x 1 1/2""";6.19;Unidad;t;13;1;4;10
4046;4046;46;"Tornillo Gypsum fina 50mm #6 x 2"" 50mm";7.95;Unidad;t;13;1;4;10
4047;4047;47;"Tornillo Gypsum fina 65 mm #8 x 2 1/2""";15.04;Unidad;t;13;1;4;10
4048;4048;48;Tornillo Gypsum fina 75 mm #8 x 3;20.35;Unidad;t;13;1;4;5
4049;4049;49;"Tornillo Torfix cabeza plana #8 x 3 1/2""";24.78;Unidad;t;13;1;4;5
4050;4050;50;Tornillo Torfix cabeza plana #12 x 4;30.97;Unidad;t;13;1;4;5
4051;4051;51;Tornillo Techo punta corriente 1/4 x 3;57.52;Unidad;t;13;1;4;5
4052;4052;52;Tornillo tirafondo 1/4 x 6;145.74;Unidad;t;13;1;4;0
4053;4053;53;Tornillo concreto PHILLIPS 1/4 x 2 1/4;163.72;Unidad;t;13;1;4;5
4054;4054;54;"Tubo Red Galv s/rosca CED 20x12mm (1/2"")";4318.58;Unidad;t;13;1;4;7
4055;4055;55;Esquinero metal 3,05m (10ft);734.51;Unidad;t;13;1;4;10
4056;4056;56;"Angular HN 38x38x3,17mm (11/2""x11/2""x1/8"")";6137.17;Unidad;t;13;1;4;7
4057;4057;57;"MC perfil galva 50x70x1,50x 6mts (2""x3""x1,50)";6380.53;Unidad;t;13;1;4;7
